Species,Bmkg,DMIkgd
Mus musculus,0.03,0.006
Lasiopodomys brandtii,0.04,0.008
Meriones unguiculatus,0.05,0.006
Microtus ochrogaster,0.05,0.01
Microtus townsendii,0.05,0.008
Tamias amoenus,0.06,0.008
Phyllotis darwini,0.08,0.009
Cricetus cricetus,0.11,0.011
Neotoma lepida,0.13,0.01
Octodon degus,0.18,0.01
Arvicola terrestris,0.23,0.024
Rattus norvegicus,0.3,0.024
Cavia porcellus,0.57,0.036
Spermophilus columbianus,0.66,0.026
Hapalemur griseus,1.04,0.027
Oryctolagus cuniculus,2.01,0.079
Marmota caligata,2.31,0.112
Trichosurus vulpecula,2.5,0.04
Lagostomus maximus,2.86,0.105
Propithecus tattersalli,3.24,0.057
Propithecus verreauxi,3.58,0.072
Myocastor coypus,4.4,0.094
Dolichotis patagonum,7.4,0.185
Erethizon dorsatum,10.3,0.103
Hydrochaeris hydrochaeris,39.2,0.606
Pithecia pithecia,1.85,0.059
Alouatta pigra,6.15,0.137
Alouatta seniculus,8.18,0.144
Lasiorhinus latifrons,26.2,0.394
Vombatus ursinus,29.5,0.434
Gorilla gorilla,102,1.267
Tapirus terrestris,192,2.247
Equus asinus,202,3.445
Tapirus indicus,278,3.945
Equus caballus,287,5.416
Diceros bicornis,1222,15.7
Rhinoceros unicornis,2125,22.065
Ceratotherium simum,2175,20.781
Elephas maximus,2547,33.874
Loxodonta africana,2583,47.207
Lagorchestes hirsutus,1.23,0.04
Thylogale thetis ,4.05,0.141
Macropus eugenii,4.8,0.117
Trachypithecus auratus,6,0.14
Colobus angolensis,7.5,0.118
Trachypithecus johnii,9.5,0.157
Colobus guereza,10.8,0.154
Colobus polykomos,12,0.174
Pygathrix nemaeus,12.1,0.429
Macropus robustus,19.8,0.608
Pecari tajacu,20.1,0.324
Macropus giganteus,23.6,0.504
Macropus rufus,28.7,0.468
Hexaprotodon liberiensis,238,2.067
Hippopotamus amphibius,2175,11.733
Tragulus napu,2.8,0.129
Cephalophus monticola,3.85,0.146
Pudu puda,9.1,0.299
Cephalophus maxwellii,9.4,0.305
Capreolus capreolus,24.7,0.405
Capra hircus,29.7,0.777
Capra ibex ,35.4,0.989
Odocoileus virginianus,40.3,0.648
Ovis ammon,40.3,0.914
Odocoileus hemionus,60,1.028
Bubalus depressicornis,90,1.767
Ovis canadensis,90,0.984
Bos grunniens,176,3.122
Cervus elaphus,196,3.763
Okapia johnstoni,227,3.531
Ovibos moschatus,254,3.223
Bison bison,279,4.41
Bos javanicus,432,4.654
Bos taurus,460,7.357
Bubalus bubalis,656,12.12
Giraffa camelopardalis ,665,8.224
Camelus bactrianus,687,2.601
